2023-04-21T15:42:52.033Z, error, PUT /lender/editItems/2222, Product not found
2023-04-21T15:51:44.603Z, error, PUT /lender/editItems/2222, Product not found
2023-04-21T15:51:55.860Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T15:53:27.638Z, error, PUT /lender/editItems/2222, Product not found
2023-04-21T15:53:42.161Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T15:56:12.811Z, error, DELETE /lender/deleteProduct/41, Product not found
2023-04-21T15:56:17.224Z, info, DELETE /lender/deleteProduct/40, product deleted successfully
2023-04-21T16:00:57.133Z, info, POST /lender/createCategory, category created
2023-04-21T16:04:36.489Z, info, GET /lender/masterData, categories swapped successfully
2023-04-21T16:04:38.947Z, info, GET /lender/masterData, categories swapped successfully
2023-04-21T16:04:42.123Z, error, GET /lender/masterData, Data not found
2023-04-21T16:04:50.167Z, error, GET /lender/masterData, Data not found
2023-04-21T16:05:45.210Z, error, GET /lender/masterData, Data not found
2023-04-21T16:07:53.197Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T16:08:11.190Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T16:09:23.767Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T16:09:39.891Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T16:11:03.163Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T16:11:15.972Z, info, PUT /lender/editItems/2, Item edited successfully
